Console,Region,Sales
XOne,NA,10.39
XOne,EU,5.63
XOne,JP,0.02
XOne,Other,1.46
XB,NA,11.8
XB,EU,2.83
XB,JP,0.13
XB,Other,0.15
X360,NA,161.82
X360,EU,73.16
X360,JP,2.17
X360,Other,22.77
WiiU,NA,5.45
WiiU,EU,3.37
WiiU,JP,2.54
WiiU,Other,0.8
Wii,NA,178.27
Wii,EU,123.53
Wii,JP,35.81
Wii,Other,34.03
SNES,NA,31.24
SNES,EU,10.42
SNES,JP,17.54
SNES,Other,1.48
PSP,NA,5.07
PSP,EU,5.42
PSP,JP,4.53
PSP,Other,3.3
PS4,NA,22.16
PS4,EU,33.76
PS4,JP,1.58
PS4,Other,11.72
PS3,NA,85.04
PS3,EU,93.59
PS3,JP,11.13
PS3,Other,37.93
PS2,NA,69.17
PS2,EU,36.62
PS2,JP,18
PS2,Other,31.68
PS,NA,41.5
PS,EU,31.19
PS,JP,23.37
PS,Other,5.06
PC,NA,6.7
PC,EU,16.47
PC,JP,0
PC,Other,1.53
NES,NA,77.65
NES,EU,10.45
NES,JP,15.13
NES,Other,2.14
N64,NA,31.82
N64,EU,11.32
N64,JP,9.72
N64,Other,0.88
GEN,NA,4.47
GEN,EU,1.2
GEN,JP,0.16
GEN,Other,0.19
GC,NA,12.54
GC,EU,4.07
GC,JP,3.13
GC,Other,0.58
GBA,NA,24.87
GBA,EU,13.37
GBA,JP,14.27
GBA,Other,1.89
GB,NA,79.3
GB,EU,32.35
GB,JP,39.2
GB,Other,5.2
DS,NA,82.88
DS,EU,77.34
DS,JP,60.52
DS,Other,20.24
AtariCon,NA,7.28
AtariCon,EU,0.45
AtariCon,JP,0
AtariCon,Other,0.08
3DS,NA,28.9
3DS,EU,23.08
3DS,JP,23.36
3DS,Other,4.86
