Genre,Region,Sales
Strategy,NA,3.18
Strategy,EU,1.24
Strategy,JP,0.94
Strategy,Other,0.09
Sports,NA,95.29
Sports,EU,89.99
Sports,JP,14.67
Sports,Other,25.75
Simulation,NA,21.92
Simulation,EU,28.91
Simulation,JP,13.58
Simulation,Other,5.81
Shooter,NA,200.48
Shooter,EU,98.12
Shooter,JP,5.87
Shooter,Other,34.46
Role-Playing,NA,105.72
Role-Playing,EU,79.41
Role-Playing,JP,90.31
Role-Playing,Other,17.81
Racing,NA,79.05
Racing,EU,58.06
Racing,JP,28.03
Racing,Other,21.81
Puzzle,NA,40.29
Puzzle,EU,12.2
Puzzle,JP,14.38
Puzzle,Other,2.67
Platform,NA,183.82
Platform,EU,75.58
Platform,JP,61.99
Platform,Other,16.87
Misc,NA,79.4
Misc,EU,52.26
Misc,JP,16.02
Misc,Other,14.99
Fighting,NA,25.35
Fighting,EU,10.54
Fighting,JP,14.07
Fighting,Other,2.35
Adventure,NA,9.44
Adventure,EU,3.69
Adventure,JP,2.76
Adventure,Other,0.84
Action,NA,134.38
Action,EU,99.62
Action,JP,19.69
Action,Other,44.52
