Region,Year,Sales
NA,1982,7.28
NA,1984,26.93
NA,1985,29.08
NA,1986,3.74
NA,1988,17.9
NA,1989,36.21
NA,1990,12.78
NA,1992,19.35
NA,1993,5.99
NA,1994,6.85
NA,1995,2.1
NA,1996,32.44
NA,1997,18.91
NA,1998,22
NA,1999,30.75
NA,2000,4.17
NA,2001,39.63
NA,2002,25.05
NA,2003,18.48
NA,2004,34.68
NA,2005,34.19
NA,2006,91.21
NA,2007,52.99
NA,2008,56.14
NA,2009,82.43
NA,2010,78.82
NA,2011,55.5
NA,2012,45.25
NA,2013,42.35
NA,2014,28.32
NA,2015,16.8
EU,1982,0.45
EU,1984,0.63
EU,1985,3.58
EU,1986,0.93
EU,1988,5.31
EU,1989,5.93
EU,1990,3.75
EU,1992,5.92
EU,1993,2.15
EU,1994,2.69
EU,1995,0.74
EU,1996,19.61
EU,1997,12.98
EU,1998,14.2
EU,1999,17.87
EU,2000,2.33
EU,2001,22.3
EU,2002,14.6
EU,2003,9.42
EU,2004,19.26
EU,2005,42.32
EU,2006,60.65
EU,2007,34.61
EU,2008,36.66
EU,2009,58.59
EU,2010,47.33
EU,2011,41.43
EU,2012,38.25
EU,2013,36.44
EU,2014,28.29
EU,2015,20.4
JP,1982,0
JP,1984,0.28
JP,1985,6.81
JP,1986,1.69
JP,1988,6.35
JP,1989,10.4
JP,1990,3.54
JP,1992,11.23
JP,1993,2.12
JP,1994,4.57
JP,1995,2.2
JP,1996,16.66
JP,1997,7.46
JP,1998,10.19
JP,1999,17.55
JP,2000,4.07
JP,2001,10.33
JP,2002,8.38
JP,2003,4.03
JP,2004,11.71
JP,2005,22.71
JP,2006,22.47
JP,2007,11.61
JP,2008,15.35
JP,2009,22.89
JP,2010,12.28
JP,2011,6.66
JP,2012,12.35
JP,2013,8.05
JP,2014,7.49
JP,2015,0.88
Other,1982,0.08
Other,1984,0.47
Other,1985,0.77
Other,1986,0.14
Other,1988,0.76
Other,1989,1.2
Other,1990,0.55
Other,1992,0.89
Other,1993,0.29
Other,1994,0.38
Other,1995,0.11
Other,1996,2.11
Other,1997,2.22
Other,1998,2.01
Other,1999,2.12
Other,2000,1.13
Other,2001,5.25
Other,2002,3.51
Other,2003,3.09
Other,2004,21.01
Other,2005,11.15
Other,2006,21.09
Other,2007,10.49
Other,2008,12.35
Other,2009,16.96
Other,2010,15.21
Other,2011,13.14
Other,2012,11.5
Other,2013,12.3
Other,2014,9.12
Other,2015,6.57
Global,1982,7.81
Global,1984,28.31
Global,1985,40.24
Global,1986,6.51
Global,1988,30.32
Global,1989,53.74
Global,1990,20.61
Global,1992,37.4
Global,1993,10.55
Global,1994,14.49
Global,1995,5.15
Global,1996,70.81
Global,1997,41.58
Global,1998,48.38
Global,1999,68.3
Global,2000,11.69
Global,2001,77.52
Global,2002,51.54
Global,2003,35
Global,2004,86.67
Global,2005,110.36
Global,2006,195.42
Global,2007,109.73
Global,2008,120.44
Global,2009,180.85
Global,2010,153.65
Global,2011,116.74
Global,2012,107.28
Global,2013,99.17
Global,2014,73.19
Global,2015,44.66
,,
